B,L
31.733515067744193,172.1849389057611
80.10547821619704,53.177557068590914
37.699204378460934,173.1087335504692
-65.00353792015524,97.07956163504741
10.541226738677253,-150.7462873384514
16.6796043386351,-113.98870282956933
-50.71632788328284,-18.63329038721278
20.108232349828725,-46.24589406678842
-47.91319799767695,-12.707846461589725
44.437587561637116,10.732618401999474
-31.052783912079654,4.9734809101974236
47.89060430045555,-109.76752962516045
-41.92516283285107,25.470575401270253
37.282519123031975,178.1283051750783
-29.239936942058172,89.10593521481672
-5.172631379233053,83.53129056299366
-56.5099098819428,-174.49470652812394
30.70492964006064,128.3152092935299
49.536310758019056,-108.08280531464534
75.61274774711464,-43.73073156275066
-89.40619384342585,-111.86887803056766
6.012142816997866,-119.46293124738348
-41.26172141034519,-107.9055206804172
-4.588699052364902,-93.94415020780669
-34.08926841313412,-175.88286304184925
-74.29207339629001,-158.39375712194547
14.926881232926135,103.99524492506652
-45.10824743982721,-94.6691801458695
39.8677599549014,152.3912708202917
87.10550823865495,-125.129878333585
-55.376695966173976,-154.91850324827976
22.991755862245483,24.840513660986858
49.56074474250312,20.093951136239014
48.05153813093119,-49.36995564360316
-37.90540356000737,55.276330845225345
57.041396538564385,-121.99017088847175
65.30018795718755,120.42767953710904
-75.85817223846445,-113.42713342114078
-62.39491799678996,106.64963182569102
-35.9653493759834,106.58658810547604
-72.3253947629099,105.06261471694631
-5.285993146639754,-82.00924749521009
30.04590115259434,69.88229193901554
-8.449746058674549,123.91463123944129
-16.173106974379365,0.2825201994867541
-72.70494884422854,-157.13772441070157
53.3759053401902,75.65336962204171
29.034701594409484,60.95818758436434
56.90354109195576,91.41641780318884
-19.61214002386818,-31.093131649726843
-42.346441963539874,49.28784946947087
20.51429852489443,124.31034390500463
-53.874917629281846,-153.4196405851513
-41.493926879276366,115.85939259838267
-61.127487759095885,95.13684975518788
-9.925045288115953,46.2879864754718
0.7388397083183804,84.45812620175684
-41.87161682280177,-116.00223895537052
80.73698823162539,18.22460109567791
-14.503391650073254,-88.69010261630629
-13.833397929338489,74.5349416627844
-0.6437962024178745,61.085954541914504
74.31255307139793,22.90082100812168
-46.975746468605884,-22.094096771324274
61.44996253387018,-51.80115013322239
-15.596831955190453,2.0614874905471936
73.10202123758856,-92.25033492337741
60.295392244958435,-124.34875620142556
64.30911040149931,155.90832214588306
17.568441538291424,-116.78193899495574
-79.89612443470588,-49.59251460670882
-26.053230290090013,-132.84196739315422
-59.82665807013196,-66.53022579097751
20.649739272879188,94.22626320766364
26.471686239692744,-178.81186249199453
-49.502286835920216,-140.73745151494103
9.519288147800324,10.999099251624017
-76.78858819082458,38.61466203612949
42.20973577901907,-3.875628138163364
20.068440823900318,69.93464860183116
-2.095146903246629,56.635531727345665
70.19996197331878,173.10602066413043
-21.866902017950423,-87.11456566995753
-86.831311618245,-36.67814862563466
-2.8237177023036537,-34.37341482994759
-8.048470420343904,116.25322113023441
74.20712861597485,-62.299196101803844
59.07754810093445,28.952004386218135
-81.98346371835645,-100.51891921102704
-87.94251484261613,87.6544746222288
60.92423023923644,-14.07900463329159
12.282055818478725,-50.54456119497911
44.06758392022931,91.88202924757314
-44.09286503276062,148.28969835515096
33.33987979992962,52.028222153099165
15.530504030041953,-14.095232519012313
61.676297817134355,-94.23509085309884
-33.278029017113674,-31.702815483418078
-74.78836441101413,-16.94103000060238
-16.092700825578945,-86.9230478702074
-57.33938923549152,-144.40259643350754
-15.612305361534283,-138.84464967018494
10.052413701357764,142.78175102712493
8.564999498274062,-39.02098919418975
37.25422005951782,-83.91506633432365
-6.281175914620192,-168.66142804945997
-71.16814780681909,-19.29039150422915
-43.7884994681763,-88.22616563686516
34.8356106019277,-9.102407419986093
-74.66062531728589,-90.16238512571145
-43.45127866540978,3.7793796208275694
-7.591712344831748,-149.77304939251516
88.54581527620982,-156.22295965940071
-66.79075139318707,-77.59695048467735
-89.16843608802421,-103.80607762814134
-68.63844377914033,112.7367156393284
76.36655169016947,152.9089280842926
62.2967986581931,37.38224975900465
-80.98412212561605,133.79005023680708
-8.356721439751595,176.69167004822827
70.74572926143838,-1.1100674248748135
16.852109578566612,168.35078538164623
-89.08501789930735,91.21846731316293
-34.84867100200202,-114.89364015524362
-73.3256847703361,95.4672754559478
89.42551491703117,164.69077367542764
-72.8392856346293,-35.95957879087004
-3.120091289967945,37.704420014049475
43.56942524698519,122.84737426836125
24.879270122703232,16.773120101974456
-50.70777004366815,-165.87112834227946
-79.87219577621252,34.02913656195091
-42.25414835162313,91.5782188435004
